BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,
Software_Priacy_v3.nlogo,,,,,,,,,,,,
Release Interval Variation Preferential,,,,,,,,,,,,
05/11/2021 22:39:14:573 +0530,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
-16,16,-16,16,,,,,,,,,
[run number],Crack-Distribution-Radius,Waiting-Threshold,Price,Months-To-Crack,New-Version-Release-Interval,Price-Threshold,Network-Type,Max-License-Period,Num-People,[step],profit,loss
278,5,12,10,8,9,20,Preferential Attachment,7,100,36001,2340,4050
279,5,12,10,8,9,20,Preferential Attachment,7,100,36001,3090,7770
280,5,12,10,8,10,20,Preferential Attachment,7,100,36001,2590,8080
281,5,12,10,8,10,20,Preferential Attachment,7,100,36001,1970,7710
282,5,12,10,8,10,20,Preferential Attachment,7,100,36001,1300,8400
283,5,12,10,8,11,20,Preferential Attachment,7,100,36001,560,7500
284,5,12,10,8,11,20,Preferential Attachment,7,100,36001,1170,7210
285,5,12,10,8,11,20,Preferential Attachment,7,100,36001,340,8380
286,5,12,10,8,12,20,Preferential Attachment,7,100,36001,200,7640
287,5,12,10,8,12,20,Preferential Attachment,7,100,36001,410,7240
288,5,12,10,8,12,20,Preferential Attachment,7,100,36001,590,8090
289,5,12,10,9,1,20,Preferential Attachment,7,100,36001,21500,340
290,5,12,10,9,1,20,Preferential Attachment,7,100,36001,22090,0
291,5,12,10,9,1,20,Preferential Attachment,7,100,36001,21800,0
292,5,12,10,9,2,20,Preferential Attachment,7,100,36001,24260,0
293,5,12,10,9,2,20,Preferential Attachment,7,100,36001,22120,260
294,5,12,10,9,2,20,Preferential Attachment,7,100,36001,25470,130
295,5,12,10,9,3,20,Preferential Attachment,7,100,36001,24380,0
296,5,12,10,9,3,20,Preferential Attachment,7,100,36001,27060,520
297,5,12,10,9,3,20,Preferential Attachment,7,100,36001,24560,0
298,5,12,10,9,4,20,Preferential Attachment,7,100,36001,28940,0
299,5,12,10,9,4,20,Preferential Attachment,7,100,36001,27460,390
300,5,12,10,9,4,20,Preferential Attachment,7,100,36001,25490,0
301,5,12,10,9,5,20,Preferential Attachment,7,100,36001,26540,130
302,5,12,10,9,5,20,Preferential Attachment,7,100,36001,29030,130
303,5,12,10,9,5,20,Preferential Attachment,7,100,36001,26600,0
304,5,12,10,9,6,20,Preferential Attachment,7,100,36001,35160,0
305,5,12,10,9,6,20,Preferential Attachment,7,100,36001,28700,260
306,5,12,10,9,6,20,Preferential Attachment,7,100,36001,30600,130
307,5,12,10,9,7,20,Preferential Attachment,7,100,36001,32750,260
308,5,12,10,9,7,20,Preferential Attachment,7,100,36001,28450,130
309,5,12,10,9,7,20,Preferential Attachment,7,100,36001,36720,260
310,5,12,10,9,8,20,Preferential Attachment,7,100,36001,30980,130
311,5,12,10,9,8,20,Preferential Attachment,7,100,36001,34170,130
312,5,12,10,9,8,20,Preferential Attachment,7,100,36001,30460,0
313,5,12,10,9,9,20,Preferential Attachment,7,100,36001,7900,4740
314,5,12,10,9,9,20,Preferential Attachment,7,100,36001,6700,3400
315,5,12,10,9,9,20,Preferential Attachment,7,100,36001,7010,5070
316,5,12,10,9,10,20,Preferential Attachment,7,100,36001,2090,6070
317,5,12,10,9,10,20,Preferential Attachment,7,100,36001,1940,6260
318,5,12,10,9,10,20,Preferential Attachment,7,100,36001,1480,8400
319,5,12,10,9,11,20,Preferential Attachment,7,100,36001,660,8030
320,5,12,10,9,11,20,Preferential Attachment,7,100,36001,1200,7950
321,5,12,10,9,11,20,Preferential Attachment,7,100,36001,890,7280
322,5,12,10,9,12,20,Preferential Attachment,7,100,36001,460,7710
323,5,12,10,9,12,20,Preferential Attachment,7,100,36001,240,6550
325,5,12,10,10,1,20,Preferential Attachment,7,100,36001,22650,0
324,5,12,10,9,12,20,Preferential Attachment,7,100,36001,140,8170
326,5,12,10,10,1,20,Preferential Attachment,7,100,36001,23470,120
327,5,12,10,10,1,20,Preferential Attachment,7,100,36001,23350,0
328,5,12,10,10,2,20,Preferential Attachment,7,100,36001,25230,0
329,5,12,10,10,2,20,Preferential Attachment,7,100,36001,24550,0
330,5,12,10,10,2,20,Preferential Attachment,7,100,36001,22430,240
331,5,12,10,10,3,20,Preferential Attachment,7,100,36001,25970,0
332,5,12,10,10,3,20,Preferential Attachment,7,100,36001,30600,0
333,5,12,10,10,3,20,Preferential Attachment,7,100,36001,27540,120
334,5,12,10,10,4,20,Preferential Attachment,7,100,36001,28520,0
336,5,12,10,10,4,20,Preferential Attachment,7,100,36001,26060,120
335,5,12,10,10,4,20,Preferential Attachment,7,100,36001,28470,0
337,5,12,10,10,5,20,Preferential Attachment,7,100,36001,29970,0
338,5,12,10,10,5,20,Preferential Attachment,7,100,36001,31570,0
339,5,12,10,10,5,20,Preferential Attachment,7,100,36001,29000,0
340,5,12,10,10,6,20,Preferential Attachment,7,100,36001,31340,120
341,5,12,10,10,6,20,Preferential Attachment,7,100,36001,34280,120
342,5,12,10,10,6,20,Preferential Attachment,7,100,36001,33000,0
343,5,12,10,10,7,20,Preferential Attachment,7,100,36001,33250,0
344,5,12,10,10,7,20,Preferential Attachment,7,100,36001,26900,0
345,5,12,10,10,7,20,Preferential Attachment,7,100,36001,29420,0
346,5,12,10,10,8,20,Preferential Attachment,7,100,36001,32690,120
347,5,12,10,10,8,20,Preferential Attachment,7,100,36001,35070,0
348,5,12,10,10,8,20,Preferential Attachment,7,100,36001,31750,120
349,5,12,10,10,9,20,Preferential Attachment,7,100,36001,39480,0
350,5,12,10,10,9,20,Preferential Attachment,7,100,36001,35050,0
